2026-09-10 20:04:59,121 INFO    [Thread-73 (_pipeline_worker)] etl.module7_modis_download [M7] selesai: 1 hari diproses untuk dataset_id=20
2026-09-10 20:04:59,133 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [SCENE] Registered scene_id=24 pid=NASA_AUX_MODIS_20_20240305 acq=2024-03-05T00:00:00+00:00
2026-09-10 20:04:59,141 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] Created job_id=37 scene=24 stage=DOWNLOAD attempt=1
2026-09-10 20:04:59,156 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [NASA] Registered nasa_scene_id=1 source=MODIS tile=MOSAIC date=2024-03-05
2026-09-10 20:04:59,175 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=55 scene=24 band=FLOOD tier=SILVER level=PROCESSED source=MODIS dataset=20 file=modis_20240305_flood.tif
2026-09-10 20:04:59,197 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] Created job_id=38 scene=24 stage=GOLD_EXPORT attempt=1
2026-09-10 20:04:59,202 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=38 -> RUNNING
2026-09-10 20:04:59,225 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=56 scene=24 band=FLOOD tier=GOLD level=PROCESSED source=MODIS dataset=20 file=modis_20240305_flood.tif
2026-09-10 20:04:59,232 INFO    [Thread-73 (_pipeline_worker)] etl.lineage_tracker [LINEAGE] lineage_id=35 parent=55 →[GOLD_EXPORT]→ child=56
2026-09-10 20:04:59,237 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=38 -> SUCCESS
2026-09-10 20:04:59,240 WARNING [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] Duplicate job skipped: scene=24 stage=DOWNLOAD attempt=1 (job_id=37)
2026-09-10 20:04:59,269 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=57 scene=24 band=NDVI tier=SILVER level=PROCESSED source=MODIS dataset=20 file=modis_20240305_ndvi.tif
